distance,throughput,delay
1929.7344376882536,22.670827,281.278775
1948.4393755003002,22.65712,281.276822
1967.204361524242,22.65712,281.276822
1986.0292042162926,21.71136,282.274813
2004.9137138540402,21.615413,281.544892
2023.8577025077627,21.560587,282.080064
2042.8609840123727,20.875253,277.686861
2061.9233739399724,21.286453,283.253668
2081.044689573004,22.095147,260.847436
2100.2247498779743,22.067733,261.033248
2119.4633754797464,21.01232,272.256152
2138.760388636371,21.01232,272.256152
2158.1156132144542,19.024853,260.444504
2177.5288746650413,19.024853,260.444504
2197.0,19.024853,260.444504
2216.5288177689004,18.970027,260.959758
2236.1151580363658,18.887787,261.492241
2255.7588523598884,18.887787,261.492241
2275.4597337681016,18.58624,277.519598
2295.2176367394877,17.10592,320.342123
2315.032397181517,17.009973,286.865446
2334.9038524102016,17.009973,286.865446
